"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Feature","3","0","Invalid Credentials","0"
"0","","0","Login Feature","1","0","Reset Password Functionality","0"
"0","","0","Login Feature","1","0","Valid Credentials","0"
"0","","0","Login Feature","1","0","Login with empty credentials","0"
