"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login with invalid credentials on the OrangeHRM Demo site","1743","Verify the login functionality of OrangeHRM with invalid credentials","SanityTestSuite","Tue Dec 24 13:03:52 IST 2024","passed","Tue Dec 24 13:03:54 IST 2024","com.orangehrm.testng.tests.TC_Login_InvalidCredentials","SanityTests","com.orangehrm.testng.tests.TC_Login_InvalidCredentials","testLoginWithInvalidCredentials"
"Test reset password functionality on the OrangeHRM Demo site","3070","Verify the reset password functionality of OrangeHRM","SanityTestSuite","Tue Dec 24 13:03:52 IST 2024","passed","Tue Dec 24 13:03:55 IST 2024","com.orangehrm.testng.tests.TC_Login_ResetPassword","SanityTests","com.orangehrm.testng.tests.TC_Login_ResetPassword","testResetPassword"
"Test login with invalid credentials on the OrangeHRM Demo site","1865","Verify the login functionality of OrangeHRM with invalid credentials","SanityTestSuite","Tue Dec 24 13:03:54 IST 2024","passed","Tue Dec 24 13:03:56 IST 2024","com.orangehrm.testng.tests.TC_Login_InvalidCredentials","SanityTests","com.orangehrm.testng.tests.TC_Login_InvalidCredentials","testLoginWithInvalidCredentials"
"Test login with invalid credentials on the OrangeHRM Demo site","1551","Verify the login functionality of OrangeHRM with invalid credentials","SanityTestSuite","Tue Dec 24 13:03:56 IST 2024","passed","Tue Dec 24 13:03:57 IST 2024","com.orangehrm.testng.tests.TC_Login_InvalidCredentials","SanityTests","com.orangehrm.testng.tests.TC_Login_InvalidCredentials","testLoginWithInvalidCredentials"
"Test login with valid credentials on the OrangeHRM Demo site","3603","Verify the login functionality of OrangeHRM with valid credentials","SanityTestSuite","Tue Dec 24 13:03:53 IST 2024","passed","Tue Dec 24 13:03:56 IST 2024","com.orangehrm.testng.tests.TC_Login_ValidCredentials","SanityTests","com.orangehrm.testng.tests.TC_Login_ValidCredentials","testLoginWithValidCredentials"
"Test login with empty credentials on the OrangeHRM Demo site","506","Verify the login functionality of OrangeHRM with empty credentials to validate required field errors","SanityTestSuite","Tue Dec 24 13:03:53 IST 2024","passed","Tue Dec 24 13:03:53 IST 2024","com.orangehrm.testng.tests.TC_Login_EmptyCredentials","SanityTests","com.orangehrm.testng.tests.TC_Login_EmptyCredentials","testLoginWithEmptyCredentials"
